SA2_code,y.all.male,sd.all.male,y.all.female,sd.all.female,y.all.persons,sd.all.persons
61051,0.93,0.10204081632653059,1.09,0.10714285714285715,0.97,0.08418367346938772
61052,1.05,0.09183673469387756,1.09,0.08163265306122448,1.05,0.07908163265306122
61053,1.21,0.13520408163265307,1.07,0.11479591836734696,1.15,0.10714285714285718
61054,1.18,0.09438775510204085,1.08,0.0739795918367347,1.13,0.06887755102040817
61055,1.12,0.08928571428571432,1.06,0.07908163265306122,1.08,0.0739795918367347
61056,1.08,0.11224489795918369,1.11,0.10204081632653061,1.13,0.10459183673469391
61057,1.18,0.09693877551020405,1.07,0.07653061224489795,1.15,0.08418367346938778
61058,1.17,0.08418367346938778,1.1,0.0739795918367347,1.14,0.0739795918367347
61059,1.37,0.11479591836734698,1.17,0.1173469387755102,1.32,0.0969387755102041
61060,1.06,0.09693877551020408,1.14,0.08418367346938778,1.12,0.08163265306122451
61061,1.12,0.08163265306122451,1.1,0.06887755102040817,1.12,0.07142857142857144
61062,1.12,0.0969387755102041,1.14,0.09183673469387758,1.16,0.09183673469387758
61063,1.26,0.10969387755102039,1.23,0.10969387755102039,1.3,0.09183673469387751
61064,1.2,0.09693877551020405,1.13,0.08928571428571432,1.18,0.0739795918367347
61065,1.14,0.09948979591836737,1.14,0.08418367346938778,1.17,0.09183673469387758
61066,1.04,0.09438775510204081,1.17,0.08928571428571432,1.11,0.08673469387755105
61067,1.02,0.08163265306122448,1.09,0.07653061224489797,1.04,0.06887755102040814
61069,1.21,0.14540816326530615,1.02,0.1173469387755102,1.1,0.11989795918367349
61070,1.13,0.1224489795918367,1.05,0.10714285714285715,1.09,0.10459183673469388
61071,1.04,0.14285714285714288,1.23,0.1887755102040816,1.15,0.1173469387755102
61072,1.17,0.10459183673469391,1.13,0.09438775510204085,1.17,0.08928571428571432
61073,1.16,0.163265306122449,1.09,0.15306122448979592,1.17,0.13520408163265304
61074,1.04,0.08673469387755102,1.09,0.08418367346938775,1.05,0.07397959183673468
61075,1.36,0.15816326530612243,1.19,0.11989795918367346,1.32,0.1173469387755102
61076,1.17,0.08673469387755105,1.17,0.07653061224489797,1.2,0.07908163265306124
61077,1.35,0.13520408163265302,1.27,0.1173469387755102,1.41,0.11479591836734693
61078,1.26,0.10714285714285712,1.23,0.10204081632653059,1.28,0.09183673469387751
61079,1.07,0.12500000000000003,1.12,0.11734693877551022,1.1,0.09183673469387756
61080,1.26,0.12755102040816327,1.19,0.1173469387755102,1.25,0.10459183673469385
